"Gemeente_Naam";"Municipality_code";"inwoners";"gemeente_getal";"provincie";"volledige.vaccinatie";"incidentie"
"Gooise Meren";"GM1942";58055;336;"Noord-Holland";75;15,0103965451481
"Gorinchem";"GM0512";37022;151;"Zuid-Holland";68;13,1196122768701
"Gouda";"GM0513";73428;152;"Zuid-Holland";70;11,8677966365497
"Grave";"GM0786";12436;215;"Noord-Brabant";75;6,89243210954372
"Groningen";"GM0014";232880;1;"Groningen";70;14,4771065416892
"Gulpen-Wittem";"GM1729";14171;304;"Limburg";78;11,0890450316038
"Haaksbergen";"GM0158";24311;28;"Overijssel";76;19,9791981290069
"Haarlem";"GM0392";162903;117;"Noord-Holland";69;16,3988911894107
"Haarlemmermeer";"GM0394";156004;118;"Noord-Holland";70;21,5195947356661
"Halderberge";"GM1655";30284;275;"Noord-Brabant";75;6,60414740457007
"Hardenberg";"GM0160";60948;29;"Overijssel";74;20,8608743753457
"Harderwijk";"GM0243";48416;59;"Gelderland";70;13,2777830233217
"Hardinxveld-Giessendam";"GM0523";18295;154;"Zuid-Holland";61;8,58938820130403
"Harlingen";"GM0072";15722;8;"Fryslân";74;3,63457938830029
"Hattem";"GM0244";12209;60;"Gelderland";76;14,0411640124966
"Heemskerk";"GM0396";39182;119;"Noord-Holland";71;10,9379671423467
"Heemstede";"GM0397";27234;120;"Noord-Holland";80;34,0960354179125
"Heerde";"GM0246";18589;61;"Gelderland";77;5,37952552584862
"Heerenveen";"GM0074";50493;9;"Fryslân";73;31,4046360032932
"Heerhugowaard";"GM0398";57587;121;"Noord-Holland";67;6,94601212079115
"Heerlen";"GM0917";87088;249;"Limburg";64;13,9432035904569
"Heeze-Leende";"GM1658";16152;276;"Noord-Brabant";79;2,65336446614307
"Heiloo";"GM0399";23968;122;"Noord-Holland";72;8,94049208468434
"Hellendoorn";"GM0163";35916;30;"Overijssel";74;3,18202790638474
"Hellevoetsluis";"GM0530";40143;155;"Zuid-Holland";71;16,014177885488
"Helmond";"GM0794";92424;216;"Noord-Brabant";67;10,0468647599263
"Hendrik-Ido-Ambacht";"GM0531";31202;156;"Zuid-Holland";70;16,0246138068073
"Hengelo (O)";"GM0164";81140;31;"Overijssel";72;19,8950667277017
"Het Hogeland";"GM1966";47803;348;"Groningen";75;13,7468957417496
"Heumen";"GM0252";16454;62;"Gelderland";82;10,4186563406206
"Heusden";"GM0797";44692;218;"Noord-Brabant";76;4,79472197005536
"Hillegom";"GM0534";22209;158;"Zuid-Holland";74;7,71887844696166
"Hilvarenbeek";"GM0798";15518;219;"Noord-Brabant";81;5,52353948410141
"Hilversum";"GM0402";90831;124;"Noord-Holland";72;14,4695722196796
"Hoeksche Waard";"GM1963";87402;347;"Zuid-Holland";70;10,787592307466
"Hof van Twente";"GM1735";35017;308;"Overijssel";77;15,0947091004777
"Hollands Kroon";"GM1911";48432;329;"Noord-Holland";68;3,5395724196517
"Hoogeveen";"GM0118";55699;21;"Drenthe";69;23,852698047926
"Hoorn";"GM0405";73261;125;"Noord-Holland";66;16,7697878621835
"Horst aan de Maas";"GM1507";42429;265;"Limburg";75;5,38715097153901
"Houten";"GM0321";50146;90;"Utrecht";79;13,104591734991
"Huizen";"GM0406";41273;126;"Noord-Holland";72;25,9595515574
"Hulst";"GM0677";27557;188;"Zeeland";76;0,518406005215164
"IJsselstein";"GM0353";34109;101;"Utrecht";74;6,70120579821832
"Kaag en Braassem";"GM1884";27297;319;"Zuid-Holland";75;9,42018746173049
